company_name,logo,location,sector,link,twitter
Cleantech Catalyst,https://f6s-public.s3.amazonaws.com/profiles/2546560_th2.jpg,"Singapore, Singapore","Renewable Resources, Energy, Renewable Energy",,
IgniteX Cleantech Accelerator,https://f6s-public.s3.amazonaws.com/profiles/2219058_th2.jpg,"Kansas City, United States","Renewable Energy, Energy & Cleantech, Sustainable Agriculture",https://www.bv.com/growth-accelerator,https://twitter.com/@Black_Veatch
IgniteX Cleantech General Interest ,https://f6s-public.s3.amazonaws.com/profiles/2219059_th2.jpg,"Mumbai, India","Energy & Cleantech, Clean Energy, Cleantech",,
Cleantech and Robotics Innovation Tour,https://s3.amazonaws.com/f6s-public/profiles/1771046_th2.jpg,"Mar 28-Apr 3 • Boston, United States","Clean Energy, Energy & Cleantech, Clean Technology",,
Cleantech Collective 2020,https://f6s-public.s3.amazonaws.com/profiles/2546560_th2.jpg,"New York City, United States","Carbon Capture, Energy, Carbon Credits",http://ecolabs.sg/,
AIC-Sangam Incubation,https://f6s-public.s3.amazonaws.com/profiles/2491502_th2.jpg,"Gurgaon, India","Energy & Cleantech, Energy Efficiency, Energy Management",https://www.aic-sangam.org/,https://twitter.com/@AicSangam
Launchit GreenTech Accelerator ,https://f6s-public.s3.amazonaws.com/profiles/1909832_th2.jpg,"Kingston, Jamaica","Clean Technology, Energy & Cleantech, Sustainable Agriculture",http://www.caribbeancic.org/launchit,https://twitter.com/@CaribbeanCIC
TNB Sensing Cities Call & Accelerator,https://s3.amazonaws.com/f6s-public/profiles/1253599_th2.jpg,"Singapore, Singapore","Education, Hardware, Internet of Things",http://www.tnb.vc/tnbaccelarator2016,
Fongit - Switzerland's Premier incubator,https://s3.amazonaws.com/f6s-public/profiles/1508695_th2.jpg,"Genève, Switzerland","Medical Devices, Hardware, Health/Medical",http://www.fongit.ch,https://twitter.com/@fongit1
Stage One,https://s3.amazonaws.com/f6s-public/profiles/78450_th2.jpg,,"Mobile, Web, Education",http://stageone.innovationfarm.eu/,
BuiltinPGH Companies,https://s3.amazonaws.com/f6s-public/profiles/99247_th2.jpg,"Pittsburgh, United States","Energy, Life Sciences, Medical Devices",http://builtinpgh.com/,https://twitter.com/@builtinpgh
EMV Capital- Application,https://f6s-public.s3.amazonaws.com/profiles/2121705_th2.jpg,"London, United Kingdom","Energy & Cleantech, Transportation, Energy Efficiency",http://www.emvcapital.com,https://twitter.com/@EMVCapital
PwC's Accelerator Application,https://s3.amazonaws.com/f6s-public/profiles/116340_th2.jpg,"Luxembourg, Luxembourg","Healthcare, Medical Devices, Gaming",http://www.pwcaccelerator.com/,https://twitter.com/@PwC_Accelerator
Gávea Angels Application,https://s3.amazonaws.com/f6s-public/profiles/148944_th2.jpg,"Rio de Janeiro, Brazil","Gaming, ICT, Mobile",http://www.gaveaangels.org.br/,https://twitter.com/@GaveaAngels
